"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"la",0.206559912176056,0.442994001214873,0.621757186908785,0.162458069289689,0.41012039524506,0.237786651297766,0.351245588852057
"sla",0.40778169631528,0.101611360158873,-0.728003234272527,0.0922510701215333,0.286982117905518,0.268082040512672,0.361474112688717
"ldmc",-0.223352688645752,-0.500881797772537,0.00725964812042351,0.252198789546147,0.765247885624539,-0.0707641201520572,-0.212042877837879
"ssd",-0.546440612596769,-0.314194583400408,0.0307044219860179,0.0167458171825353,-0.184939392609058,0.583103344143158,0.476706563678921
"rtd",-0.328124435622455,0.494189354020395,-0.190282337955616,0.449298323190651,-0.028306588268226,0.372252933790869,-0.520251262473497
"log_srl",0.510373423775456,-0.349793735541671,0.191554967761757,-0.160930986013133,-0.0910148473905433,0.603878173648698,-0.426167422372175
"log_seed_mass",-0.272794148146179,0.277942187774731,-0.0976378696184272,-0.820636764020085,0.347204053303175,0.152746070463799,-0.146531990619556
